vid,name,Site,Groupe,prefix,Entité,status,Rôle,description,IDENTIFIANT,Groupe de locataires,Rôle Q-in-Q,SVLAN Q-in-Q,Commentaires,Étiquettes,L2VPN,Créé,Dernière mise à jour
34,VLAN_CAPTIF,,,172.30.128.0/26,,Active,,Interconnexion Portail Captif,34,,,,,,,2025-05-28T12:58:05.996153+00:00,2025-06-02T13:19:27.744586+00:00
35,VLAN_CAPTIF_CLIENT,,,172.30.144.0/20,,Active,,Clients sur VLAN CAPTIF,35,,,,,,,2025-05-28T12:58:06.013561+00:00,2025-06-02T13:19:50.046114+00:00
36,VLAN_IPTEL_ADM,,,,,Active,,Administration Téléphonie sur IP,36,,,,,,,2025-05-28T12:58:06.049305+00:00,2025-06-02T13:20:07.554599+00:00
37,VLAN_HZ_PERS2,,,192.168.18.0/24,,Active,,DMZ pour machines de tests,37,,,,,,,2025-05-28T12:58:06.066650+00:00,2025-06-02T13:20:29.353750+00:00
38,DMZ_WEB_SERVERS,,,192.168.11.0/24,,Active,,"DMZ pour serveurs Web (machines en www-*,...)",38,,,,,,,2025-05-28T12:58:06.081492+00:00,2025-06-02T13:21:17.398592+00:00
39,VLAN_BUTC,,,192.168.140.0/24,,Active,,BUTC,39,,,,,,,2025-05-28T12:58:06.098607+00:00,2025-06-02T13:21:47.060756+00:00
40,VLAN_NVDD,,,172.26.224.0/20,,Active,,Terminaux Légers NEOWARE,40,,,,,,,2025-05-28T12:58:06.116263+00:00,2025-06-02T13:22:10.398635+00:00
41,VLAN_SIGAM,,,192.168.141.0/24,,Active,,SIGAM,41,,,,,,,2025-05-28T12:58:06.150192+00:00,2025-06-02T13:22:27.580996+00:00
42,DMZ_HDS_SERVERS,,,192.168.17.0/24,,Active,,DMZ Serveurs Heudiasyc,42,,,,,,,2025-05-28T12:58:06.166052+00:00,2025-06-02T13:23:05.476541+00:00
43,VLAN_ESCOM,,,172.26.192.0/20,,Active,,ESCOM,43,,,,,,,2025-05-28T12:58:06.182087+00:00,2025-06-02T13:23:29.569054+00:00
44,VLAN_PARC,,,172.29.0.0/20,,Active,,Résidence du Parc,44,,,,,,,2025-05-28T12:58:06.199008+00:00,2025-06-02T13:23:47.963756+00:00
45,VLAN_VM,,,192.168.5.0/24,,Active,,Infrastructure de virtualisation,45,,,,,,,2025-05-28T12:58:06.241670+00:00,2025-06-02T13:24:24.480771+00:00
46,VLAN_CROUS_CAISSE,,,,,Active,,CROUS - Caisses,46,,,,,,,2025-05-28T12:58:06.257649+00:00,2025-06-02T13:24:46.925967+00:00
47,VLAN_POLAR,,,192.168.192.0/24,,Active,,POLAR,47,,,,,,,2025-05-28T12:58:06.275656+00:00,2025-06-02T13:25:04.912501+00:00
48,DMZ_ESCOM_SERVERS,,,193.55.117.224/27,,Active,,Serveurs ESCOM,48,,,,,,,2025-05-28T12:58:06.291181+00:00,2025-06-02T13:25:40.290075+00:00
49,VLAN_MONETIQUE,,,192.168.142.0/24,,Active,,"Monétique (Bornes Monéo,...)",49,,,,,,,2025-05-28T12:58:06.317516+00:00,2025-06-02T13:25:58.475294+00:00
50,VLAN_VIDEOSURV,,,192.168.150.0/24,,Active,,Vidéosurveillance,50,,,,,,,2025-05-28T12:58:06.352020+00:00,2025-06-02T13:26:16.175723+00:00
51,VLAN_PEUPLIERS,,,172.29.16.0/20,,Active,,Résidence des Peupliers,51,,,,,,,2025-05-28T12:58:06.367606+00:00,2025-06-02T13:26:43.351723+00:00
52,VLAN_COPIEURS,,,192.168.143.0/24,,Active,,Copieurs UTC,52,,,,,,,2025-05-28T12:58:06.383809+00:00,2025-06-02T13:27:09.405393+00:00
53,VLAN_VM_NAS,,,192.168.6.0/24,,Active,,VMware ESXi UTC Stockage,53,,,,,,,2025-05-28T12:58:06.399951+00:00,2025-06-02T13:27:32.120208+00:00
54,VLAN_VM_PXE,,,192.168.7.0/24,,Active,,VMware ESXi UTC Déploiement PXE,54,,,,,,,2025-05-28T12:58:06.440333+00:00,2025-06-02T13:27:59.748826+00:00
55,DMZ_IM_SERVERS,,,192.168.19.0/24,,Active,,DMZ Serveurs Ingénierie Mécanique,55,,,,,,,2025-05-28T12:58:06.458094+00:00,2025-06-02T13:28:38.315654+00:00
56,VLAN_CROUS_VIDEO,,,,,Active,,CROUS - Vidéosurveillance,56,,,,,,,2025-05-28T12:58:06.474120+00:00,2025-06-02T13:28:59.798268+00:00
57,VLAN_MDE,,,192.168.144.0/24,,Active,,Machines MDE,57,,,,,,,2025-05-28T12:58:06.490219+00:00,2025-06-02T13:29:18.515901+00:00
58,VLAN_CROUS_EXT_ETU,,,192.168.240.0/24,,Active,,CROUS - Etudiants extérieurs,58,,,,,,,2025-05-28T12:58:06.519175+00:00,2025-06-02T13:29:46.473555+00:00
59,VLAN_SIGAM_DEV,,,192.168.145.0/24,,Active,,SIGAM Machines de développement,59,,,,,,,2025-05-28T12:58:06.549229+00:00,2025-06-02T13:30:10.211348+00:00
60,VLAN_RUCHE,,,172.29.32.0/20,,Active,,Résidence La Ruche,60,,,,,,,2025-05-28T12:58:06.569249+00:00,2025-06-02T13:30:29.808730+00:00
61,VLAN_RHIZOME,,,,,Active,,Interconnexion Rhizome / Option Service,61,,,,,,,2025-05-28T12:58:06.585607+00:00,2025-06-02T13:30:52.327982+00:00
62,VLAN_MAINTENANCE,,,192.168.98.0/24,,Active,,Maintenance pour sociétés extérieures,62,,,,,,,2025-05-28T12:58:06.601742+00:00,2025-06-02T13:31:11.114653+00:00
63,VLAN_ADSL,,,,,Active,,Liaison ADSL de test (Hotline DSI),63,,,,,,,2025-05-28T12:58:06.623203+00:00,2025-06-02T13:31:31.270859+00:00
64,VLAN_EVOTE_TEST,,,192.168.154.0/24,,Active,,eVote Test,64,,,,,,,2025-05-28T12:58:06.648951+00:00,2025-06-02T13:31:55.969388+00:00
65,VLAN_EVOTE,,,192.168.155.0/24,,Active,,eVote Production,65,,,,,,,2025-05-28T12:58:06.664481+00:00,2025-06-02T13:32:17.142848+00:00
66,VLAN_CROUS_DA,,,,,Active,,CROUS - Distributeurs automatiques,66,,,,,,,2025-05-28T12:58:06.685940+00:00,2025-06-02T13:32:36.875796+00:00
67,VLAN_CAMPUSTV,,,192.168.146.0/24,,Active,,Campus TV,67,,,,,,,2025-05-28T12:58:06.741597+00:00,2025-06-02T13:32:57.867712+00:00
68,VLAN_HDS_ROBOTEX,,,172.26.208.0/20,,Active,,"HDS Platformes (Drones,Voitures,...)",68,,,,,,,2025-05-28T12:58:06.759005+00:00,2025-06-02T13:33:27.115500+00:00
69,VLAN_HDS_FERROVIAIRE,,,192.168.3.0/24,,Active,,HDS Plateforme Ferroviaire,69,,,,,,,2025-05-28T12:58:06.777281+00:00,2025-06-02T13:33:50.090616+00:00
70,DMZ_PROJETS_TIERS2,,,192.168.176.0/24,,Active,,Projets Tiers (externes à la DSI),70,,,,,,,2025-05-28T12:58:06.793637+00:00,2025-06-02T13:34:23.235287+00:00
71,VLAN_AVI,,,,,Active,,????,71,,,,,,,2025-05-28T12:58:06.819096+00:00,2025-06-02T13:34:42.561500+00:00
72,VLAN_PAY_UTC,,,192.168.134.0/24,,Active,,"Paiement PAYUTC (Machines à café,...)",72,,,,,,,2025-05-28T12:58:06.849433+00:00,2025-06-02T13:35:07.133065+00:00
73,DMZ_SSH_ACCESS,,,192.168.156.0/28,,Active,,Accès externe SSH (Stargate),73,,,,,,,2025-05-28T12:58:06.866055+00:00,2025-06-02T13:37:39.600291+00:00
74,VLAN_OS_INFRA,,,,,Active,,Administration OpenStack,74,,,,,,,2025-05-28T12:58:06.882814+00:00,2025-06-02T13:38:10.954034+00:00
75,DMZ_PROJETS_TIERS,,,192.168.196.0/27,,Active,,Projets Tiers (externes à la DSI),75,,,,,,,2025-05-28T12:58:06.898653+00:00,2025-06-02T14:01:44.782664+00:00
76,DMZ_VPN,,,195.83.154.64/28,,Active,,DMZ Concentrateurs VPN (VPNSSL),76,,,,,,,2025-05-28T12:58:06.922249+00:00,2025-06-02T14:02:31.776455+00:00
77,VLAN_NETAPP_IC,,,192.168.12.0/24,,Active,,NetApp InterCluster,77,,,,,,,2025-05-28T12:58:06.954130+00:00,2025-06-02T14:26:09.093759+00:00
78,EDUSPOT,,,172.30.160.0/20,,Active,,Wifi EDUSPOT,78,,,,,,,2025-05-28T12:58:06.969531+00:00,2025-06-02T14:26:36.472527+00:00
79,VLAN_NETAPP_STORAGE2,,,,,Active,,Cluster interne baie STORAGE2 (local PG2),79,,,,,,,2025-05-28T12:58:06.986258+00:00,2025-06-02T14:27:00.911453+00:00
80,VLAN_BADGES_ISOLE,,,,,Active,,Isolation VLAN badges pour migration Unicampus,80,,,,,,,2025-05-28T12:58:07.015146+00:00,2025-06-02T14:27:37.519343+00:00
81,VLAN_CROUS_WIFI,,,,,Active,,CROUS - Points d'accès wifi,81,,,,,,,2025-05-28T12:58:07.048925+00:00,2025-06-02T14:27:56.263059+00:00
82,VLAN_CROUS_EDUROAM,,,,,Active,,CROUS - Portail captif EDUROAM,82,,,,,,,2025-05-28T12:58:07.064699+00:00,2025-06-02T14:28:17.492688+00:00
83,VLAN_CROUS_EDUSPOT,,,,,Active,,CROUS - Portail captif EDUSPOT,83,,,,,,,2025-05-28T12:58:07.081132+00:00,2025-06-02T14:28:38.663770+00:00
84,VLAN_CROUS_TOIP,,,,,Active,,CROUS - Téléphonie sur IP,84,,,,,,,2025-05-28T12:58:07.097093+00:00,2025-06-02T14:28:54.418377+00:00
85,VLAN_HDS_CAVE,,,192.168.195.0/24,,Active,,HDS CAVE réalité virtuelle,85,,,,,,,2025-05-28T12:58:07.118674+00:00,2025-06-02T14:29:08.351520+00:00
86,VLAN_ESCC_PERS,,,192.168.139.0/24,,Active,,ESCC Personnels,86,,,,,,,2025-05-28T12:58:07.153261+00:00,2025-06-02T14:29:35.261671+00:00
87,DMZ_CERVIFER,,,192.168.196.64/26,,Active,,Projet CERVIFER,87,,,,,,,2025-05-28T12:58:07.169759+00:00,2025-06-02T14:29:55.229522+00:00
88,VLAN_HYDRAULIQUE,,,192.168.196.128/27,,Active,,Platforme Hydraulique (CI),88,,,,,,,2025-05-28T12:58:07.186121+00:00,2025-06-02T14:30:13.031007+00:00
89,DMZ_TOURNESOL,,,192.168.196.160/27,,Active,,Projet Tournesol,89,,,,,,,2025-05-28T12:58:07.215311+00:00,2025-06-02T14:30:31.739561+00:00
