name,device,label,type,color,power_port
L1-C19-2,PDU-A7-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-A7-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-A7-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-A7-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-A7-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-A7-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-A7-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-A7-2,Prise C19 - 4,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-1,PDU-A7-2,Prise C19 - 5,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-2,PDU-A7-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-B1-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-B1-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-B1-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-B1-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-B1-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-B1-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-B1-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-2,PDU-B1-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-B1-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-B1-2,Prise C19 - 4,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-1,PDU-B1-2,Prise C19 - 5,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-2,PDU-B1-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-B2-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-B2-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-B2-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-B2-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-B2-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-B2-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-B2-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-2,PDU-B2-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-B2-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-B2-2,Prise C19 - 4,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-1,PDU-B2-2,Prise C19 - 5,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-2,PDU-B2-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-B3-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-B3-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-B3-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-B3-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-B3-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-B3-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-B3-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-2,PDU-B3-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-B3-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-B3-2,Prise C19 - 4,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-1,PDU-B3-2,Prise C19 - 5,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-2,PDU-B3-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-B4-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-B4-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-B4-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-B4-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-B4-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-B4-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-B4-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-2,PDU-B4-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-B4-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-B4-2,Prise C19 - 4,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-1,PDU-B4-2,Prise C19 - 5,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-2,PDU-B4-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-B5-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-B5-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-B5-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-B5-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-B5-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-B5-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-B5-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-2,PDU-B5-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-B5-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-B5-2,Prise C19 - 4,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-1,PDU-B5-2,Prise C19 - 5,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-2,PDU-B5-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-B6-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-B6-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-B6-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-B6-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-B6-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-B6-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-B6-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-2,PDU-B6-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-B6-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-B6-2,Prise C19 - 4,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-1,PDU-B6-2,Prise C19 - 5,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-2,PDU-B6-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-B7-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-B7-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-B7-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-B7-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-B7-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-B7-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-B7-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-2,PDU-B7-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-B7-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-B7-2,Prise C19 - 4,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-1,PDU-B7-2,Prise C19 - 5,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-2,PDU-B7-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-B8-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-B8-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-B8-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-B8-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-B8-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-B8-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-B8-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-2,PDU-B8-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-B8-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-B8-2,Prise C19 - 4,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-1,PDU-B8-2,Prise C19 - 5,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-2,PDU-B8-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-B9-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-B9-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-B9-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-B9-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-B9-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-B9-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-B9-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-2,PDU-B9-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-B9-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-B9-2,Prise C19 - 4,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-1,PDU-B9-2,Prise C19 - 5,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-2,PDU-B9-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
